A,B,detA,detB,accuracy
"[[ 1  3]
 [-2  0]]","[[1 2]
 [0 2]]",6.0,2.0,0.6402640342712402
"[[-2  0]
 [ 1 -1]]","[[ 0  0]
 [ 0 -2]]",2.0,0.0,1.0
"[[-3 -2]
 [-2  2]]","[[-1  3]
 [-3  2]]",-10.0,7.0,0.20842084288597107
"[[ 3  1]
 [-3  0]]","[[ 2  1]
 [-1  3]]",3.0,7.0,0.493049293756485
"[[-3 -1]
 [ 1  1]]","[[-3 -2]
 [ 1 -1]]",-2.0,5.0,0.49014902114868164
"[[ 1 -2]
 [-2  2]]","[[ 2 -2]
 [-3 -2]]",-2.0,-10.0,0.04690469056367874
"[[-2 -3]
 [ 2  0]]","[[-3 -2]
 [ 3 -1]]",6.0,9.0,0.9277927875518799
"[[-1 -1]
 [ 1 -2]]","[[-1 -2]
 [ 3  0]]",3.0,6.0,0.49774977564811707
"[[ 0 -2]
 [ 1 -2]]","[[ 3 -1]
 [-1 -1]]",2.0,-4.0,0.6516651511192322
"[[ 1 -2]
 [-3  3]]","[[-2  0]
 [-1  2]]",-3.0,-4.0,0.49774977564811707
"[[ 0  0]
 [-1 -1]]","[[ 0  2]
 [-3  0]]",0.0,6.0,0.724572479724884
"[[ 0 -3]
 [ 2  1]]","[[ 0  1]
 [ 2 -3]]",6.0,-2.0,0.4825482666492462
"[[ 0 -1]
 [-1  1]]","[[ 3 -2]
 [ 0  0]]",-1.0,0.0,0.7497749924659729
"[[-3 -1]
 [ 0 -2]]","[[ 3  0]
 [-1 -1]]",6.0,-3.0,0.2550255060195923
"[[-3 -3]
 [ 3  0]]","[[ 0  0]
 [-1  1]]",9.0,0.0,0.6496649384498596
"[[2 0]
 [2 2]]","[[ 3  1]
 [-3  1]]",4.0,6.0,0.5849584937095642
"[[ 2 -3]
 [-3  3]]","[[-2 -3]
 [ 1 -1]]",-3.0,5.0,0.49374938011169434
"[[-3 -1]
 [ 2  0]]","[[ 0 -2]
 [-1 -3]]",2.0,-2.0,0.7266726493835449
"[[-1  1]
 [ 1  3]]","[[-3 -1]
 [-2  3]]",-4.0,-11.0,0.3306330740451813
"[[-3  3]
 [ 1  2]]","[[-2 -1]
 [ 2  1]]",-9.0,0.0,0.5881587862968445
"[[-1 -3]
 [ 1  0]]","[[ 1 -2]
 [ 0 -1]]",3.0,-1.0,0.7204720377922058
"[[3 1]
 [1 3]]","[[-3 -1]
 [-3  3]]",8.0,-12.0,0.29592958092689514
"[[0 1]
 [0 0]]","[[-3  2]
 [ 3  1]]",0.0,-9.0,0.49774977564811707
"[[-1  0]
 [ 0 -2]]","[[-1 -3]
 [ 0  3]]",2.0,-3.0,0.0
"[[ 3 -1]
 [-1 -2]]","[[-2 -2]
 [ 3 -3]]",-7.0,12.0,0.28132814168930054
"[[ 3 -2]
 [-3 -1]]","[[ 2  2]
 [ 3 -1]]",-9.0,-8.0,0.22732272744178772
"[[-2  0]
 [-1  1]]","[[-2 -2]
 [-2  2]]",-2.0,-8.0,0.8315831422805786
"[[-1  0]
 [ 1  2]]","[[ 3  0]
 [-1 -1]]",-2.0,-3.0,0.593259334564209
"[[ 1  3]
 [ 0 -1]]","[[1 1]
 [0 0]]",-1.0,0.0,0.5022502541542053
"[[-2  3]
 [ 0  1]]","[[-1  3]
 [ 3 -2]]",-2.0,-7.0,0.990799069404602
"[[0 3]
 [3 0]]","[[-3 -2]
 [ 0 -3]]",-9.0,9.0,0.48884889483451843
"[[ 2 -1]
 [ 3 -3]]","[[ 0 -3]
 [ 1  2]]",-3.0,3.0,0.7159715890884399
"[[-2  2]
 [ 1  3]]","[[-3 -1]
 [-2 -2]]",-8.0,4.0,0.244024395942688
"[[ 3  3]
 [-3  1]]","[[ 3 -1]
 [ 2 -3]]",12.0,-7.0,0.41194120049476624
"[[-2  2]
 [-2  3]]","[[ 3  1]
 [-3 -1]]",-2.0,0.0,0.4395439624786377
"[[ 0 -2]
 [-1 -2]]","[[ 2 -3]
 [ 1  3]]",-2.0,9.0,0.0
"[[-3  3]
 [ 1  2]]","[[-1 -2]
 [-1  3]]",-9.0,-5.0,0.4112411141395569
"[[-2  2]
 [-3  0]]","[[ 2  1]
 [ 1 -1]]",6.0,-3.0,0.5193519592285156
"[[-3  1]
 [-2  2]]","[[ 2 -2]
 [ 0  0]]",-4.0,0.0,0.6866686940193176
"[[0 1]
 [1 1]]","[[ 1  3]
 [ 1 -1]]",-1.0,-4.0,0.7746774554252625
"[[3 0]
 [1 2]]","[[-1 -3]
 [-3 -1]]",6.0,-8.0,0.6046604514122009
"[[ 1 -2]
 [-3  3]]","[[-1 -1]
 [ 0  3]]",-3.0,-3.0,0.0
"[[3 1]
 [1 2]]","[[ 1  3]
 [ 3 -2]]",5.0,-11.0,0.49774977564811707
"[[-1 -1]
 [ 2  0]]","[[-2 -3]
 [ 3 -1]]",2.0,11.0,0.5022502541542053
"[[-2  0]
 [ 3 -1]]","[[ 3  3]
 [ 3 -3]]",2.0,-18.0,0.49774977564811707
"[[-1  1]
 [ 3 -3]]","[[-1  0]
 [-3  0]]",0.0,0.0,0.9565956592559814
"[[ 0  0]
 [-2  1]]","[[-2 -2]
 [-2 -2]]",0.0,0.0,0.5022502541542053
