A,B,detA,detB,accuracy
"[[-2 -3]
 [ 2  0]]","[[-1 -2]
 [-2  0]]",6.0,-4.0,0.49774977564811707
"[[ 2 -3]
 [ 3  1]]","[[-3  1]
 [-2  0]]",11.0,2.0,0.612461268901825
"[[2 2]
 [3 3]]","[[-2 -1]
 [ 2  2]]",0.0,-2.0,0.49774977564811707
"[[-2  0]
 [ 2  0]]","[[ 2 -1]
 [ 0  3]]",0.0,6.0,0.49774977564811707
"[[-2 -2]
 [-3  1]]","[[ 0 -2]
 [ 2 -3]]",-8.0,4.0,0.49774977564811707
"[[ 3 -1]
 [ 3 -3]]","[[-3  1]
 [-1  0]]",-6.0,1.0,0.5022502541542053
"[[2 0]
 [3 1]]","[[-2 -2]
 [-2 -2]]",2.0,0.0,0.4996499717235565
"[[0 3]
 [3 3]]","[[-3 -2]
 [ 3 -1]]",-9.0,9.0,0.49774977564811707
"[[ 2 -2]
 [ 2 -2]]","[[ 0  1]
 [ 1 -3]]",0.0,-1.0,0.5022502541542053
"[[ 2  0]
 [ 2 -1]]","[[-1 -2]
 [-3 -3]]",-2.0,-3.0,0.9803980588912964
"[[-3  2]
 [-2  1]]","[[ 1  2]
 [-2 -2]]",1.0,2.0,0.9857985973358154
"[[ 1 -3]
 [-1  1]]","[[ 3  1]
 [-1 -3]]",-2.0,-8.0,0.665366530418396
"[[ 1  3]
 [-1  1]]","[[-3  1]
 [ 2  3]]",4.0,-11.0,0.49774977564811707
"[[-3  0]
 [-3  3]]","[[ 0 -2]
 [ 2 -3]]",-9.0,4.0,0.5221521854400635
"[[-3 -2]
 [-2 -1]]","[[ 2 -2]
 [ 0 -3]]",-1.0,-6.0,0.8676867485046387
"[[ 1 -2]
 [ 2 -2]]","[[ 3  3]
 [-1  0]]",2.0,3.0,0.9747974872589111
"[[ 1 -1]
 [ 1 -3]]","[[ 3 -2]
 [-3  0]]",-2.0,-6.0,0.6335633397102356
"[[ 1 -1]
 [ 3 -2]]","[[ 2 -1]
 [ 3 -2]]",1.0,-1.0,0.5021502375602722
"[[-1 -3]
 [-3  3]]","[[ 3 -1]
 [-3 -3]]",-12.0,-12.0,0.5538553595542908
"[[ 2  1]
 [-3  1]]","[[2 3]
 [2 3]]",5.0,0.0,0.6135613322257996
"[[2 0]
 [0 3]]","[[ 2 -3]
 [-3 -1]]",6.0,-11.0,0.5022502541542053
"[[-2 -1]
 [ 0 -3]]","[[-2 -2]
 [ 0  2]]",6.0,-4.0,0.5100510120391846
"[[ 0  1]
 [ 1 -3]]","[[-2 -1]
 [ 2  2]]",-1.0,-2.0,0.49774977564811707
"[[ 0 -1]
 [-2 -2]]","[[ 0  1]
 [ 2 -1]]",-2.0,-2.0,0.8292829394340515
"[[ 2 -3]
 [-3  2]]","[[-1 -2]
 [-2 -2]]",-5.0,-2.0,1.0
"[[-3 -1]
 [ 2  3]]","[[-2  0]
 [-1  2]]",-7.0,-4.0,0.49774977564811707
"[[0 1]
 [1 2]]","[[ 3 -3]
 [-2  0]]",-1.0,-6.0,0.49774977564811707
"[[-1  0]
 [ 0 -1]]","[[-3 -1]
 [-1 -3]]",1.0,8.0,0.5022502541542053
"[[-3  0]
 [-3  1]]","[[ 1  3]
 [-2  2]]",-3.0,8.0,0.49774977564811707
"[[-1 -3]
 [ 0  1]]","[[ 0  1]
 [-1 -1]]",-1.0,1.0,0.7024702429771423
"[[ 1 -1]
 [-2  1]]","[[ 2  1]
 [-1  3]]",-1.0,7.0,0.4992499351501465
"[[-3 -1]
 [ 0 -3]]","[[-1  3]
 [ 1  1]]",9.0,-4.0,0.5022502541542053
"[[ 0  3]
 [-1 -1]]","[[ 2 -2]
 [ 2  0]]",3.0,4.0,0.8048804998397827
"[[-2  3]
 [ 1  1]]","[[-2 -2]
 [ 3 -2]]",-5.0,10.0,0.5022502541542053
"[[-1 -3]
 [ 2  1]]","[[ 0  3]
 [-1  0]]",5.0,3.0,0.48994898796081543
"[[ 1  3]
 [-2  0]]","[[1 2]
 [0 2]]",6.0,2.0,0.5987598896026611
"[[-2  0]
 [ 1 -1]]","[[ 0  0]
 [ 0 -2]]",2.0,0.0,1.0
"[[-3 -2]
 [-2  2]]","[[-1  3]
 [-3  2]]",-10.0,7.0,0.5693569183349609
"[[ 3  1]
 [-3  0]]","[[ 2  1]
 [-1  3]]",3.0,7.0,0.7830783128738403
"[[-3 -1]
 [ 1  1]]","[[-3 -2]
 [ 1 -1]]",-2.0,5.0,0.8975897431373596
"[[ 1 -2]
 [-2  2]]","[[ 2 -2]
 [-3 -2]]",-2.0,-10.0,0.5401540398597717
"[[-2 -3]
 [ 2  0]]","[[-3 -2]
 [ 3 -1]]",6.0,9.0,0.9321932196617126
"[[-1 -1]
 [ 1 -2]]","[[-1 -2]
 [ 3  0]]",3.0,6.0,0.5022502541542053
"[[ 0 -2]
 [ 1 -2]]","[[ 3 -1]
 [-1 -1]]",2.0,-4.0,0.847284734249115
"[[ 1 -2]
 [-3  3]]","[[-2  0]
 [-1  2]]",-3.0,-4.0,0.49774977564811707
"[[ 0  0]
 [-1 -1]]","[[ 0  2]
 [-3  0]]",0.0,6.0,0.7244724631309509
"[[ 0 -3]
 [ 2  1]]","[[ 0  1]
 [ 2 -3]]",6.0,-2.0,0.7162716388702393
"[[ 0 -1]
 [-1  1]]","[[ 3 -2]
 [ 0  0]]",-1.0,0.0,0.49774977564811707
"[[-3 -1]
 [ 0 -2]]","[[ 3  0]
 [-1 -1]]",6.0,-3.0,0.4990499019622803
"[[-3 -3]
 [ 3  0]]","[[ 0  0]
 [-1  1]]",9.0,0.0,0.8086808919906616
"[[2 0]
 [2 2]]","[[ 3  1]
 [-3  1]]",4.0,6.0,0.4629462957382202
"[[ 2 -3]
 [-3  3]]","[[-2 -3]
 [ 1 -1]]",-3.0,5.0,0.49774977564811707
"[[-3 -1]
 [ 2  0]]","[[ 0 -2]
 [-1 -3]]",2.0,-2.0,0.7529752850532532
"[[-1  1]
 [ 1  3]]","[[-3 -1]
 [-2  3]]",-4.0,-11.0,0.7943794131278992
"[[-3  3]
 [ 1  2]]","[[-2 -1]
 [ 2  1]]",-9.0,0.0,1.0
"[[-1 -3]
 [ 1  0]]","[[ 1 -2]
 [ 0 -1]]",3.0,-1.0,0.6712671518325806
"[[3 1]
 [1 3]]","[[-3 -1]
 [-3  3]]",8.0,-12.0,0.49774977564811707
"[[0 1]
 [0 0]]","[[-3  2]
 [ 3  1]]",0.0,-9.0,0.5545554757118225
"[[-1  0]
 [ 0 -2]]","[[-1 -3]
 [ 0  3]]",2.0,-3.0,0.5022502541542053
"[[ 3 -1]
 [-1 -2]]","[[-2 -2]
 [ 3 -3]]",-7.0,12.0,0.5022502541542053
"[[ 3 -2]
 [-3 -1]]","[[ 2  2]
 [ 3 -1]]",-9.0,-8.0,0.5373537540435791
"[[-2  0]
 [-1  1]]","[[-2 -2]
 [-2  2]]",-2.0,-8.0,0.8299829959869385
"[[-1  0]
 [ 1  2]]","[[ 3  0]
 [-1 -1]]",-2.0,-3.0,0.6735673546791077
"[[ 1  3]
 [ 0 -1]]","[[1 1]
 [0 0]]",-1.0,0.0,0.5022502541542053
"[[-2  3]
 [ 0  1]]","[[-1  3]
 [ 3 -2]]",-2.0,-7.0,0.4956495761871338
"[[0 3]
 [3 0]]","[[-3 -2]
 [ 0 -3]]",-9.0,9.0,0.5092509388923645
"[[ 2 -1]
 [ 3 -3]]","[[ 0 -3]
 [ 1  2]]",-3.0,3.0,0.9161916375160217
"[[-2  2]
 [ 1  3]]","[[-3 -1]
 [-2 -2]]",-8.0,4.0,0.5022502541542053
"[[ 3  3]
 [-3  1]]","[[ 3 -1]
 [ 2 -3]]",12.0,-7.0,0.4358435869216919
"[[-2  2]
 [-2  3]]","[[ 3  1]
 [-3 -1]]",-2.0,0.0,0.49774977564811707
"[[ 0 -2]
 [-1 -2]]","[[ 2 -3]
 [ 1  3]]",-2.0,9.0,0.5022502541542053
"[[-3  3]
 [ 1  2]]","[[-1 -2]
 [-1  3]]",-9.0,-5.0,0.49774977564811707
"[[-2  2]
 [-3  0]]","[[ 2  1]
 [ 1 -1]]",6.0,-3.0,0.6409640908241272
"[[-3  1]
 [-2  2]]","[[ 2 -2]
 [ 0  0]]",-4.0,0.0,0.5022502541542053
"[[0 1]
 [1 1]]","[[ 1  3]
 [ 1 -1]]",-1.0,-4.0,0.8066806793212891
"[[3 0]
 [1 2]]","[[-1 -3]
 [-3 -1]]",6.0,-8.0,0.34763476252555847
"[[ 1 -2]
 [-3  3]]","[[-1 -1]
 [ 0  3]]",-3.0,-3.0,0.5022502541542053
"[[3 1]
 [1 2]]","[[ 1  3]
 [ 3 -2]]",5.0,-11.0,0.49774977564811707
"[[-1 -1]
 [ 2  0]]","[[-2 -3]
 [ 3 -1]]",2.0,11.0,0.5124512314796448
"[[-2  0]
 [ 3 -1]]","[[ 3  3]
 [ 3 -3]]",2.0,-18.0,0.5022502541542053
"[[-1  1]
 [ 3 -3]]","[[-1  0]
 [-3  0]]",0.0,0.0,1.0
"[[ 0  0]
 [-2  1]]","[[-2 -2]
 [-2 -2]]",0.0,0.0,1.0
