val1,val2,val3,last_matrix
-4,-11,-10,2
3,11,1,3
9,12,-1,2
7,-17,-1,2
0,-2,-2,1
3,-20,-11,4
4,1,-2,4
-5,26,-7,4
1,-9,-3,4
-5,10,5,1
7,6,-1,3
1,17,-3,3
7,35,9,2
-1,4,-5,1
-6,12,6,2
0,16,2,4
-3,4,5,4
0,-7,2,4
3,-28,-1,3
-2,-15,2,3
4,13,2,4
2,10,-2,3
1,-24,-17,4
6,-8,-4,3
-1,-1,-1,1
-12,2,-4,3
3,-1,3,3
5,17,5,3
-6,16,0,2
1,-13,-13,2
5,14,1,4
2,6,0,1
-4,8,4,3
-8,-28,2,1
8,-4,2,1
-4,-15,2,3
-6,4,-2,2
2,5,-2,4
0,2,4,1
11,15,1,4
-12,17,-4,4
2,17,-6,4
-6,-13,2,2
6,-9,-2,4
6,0,-2,1
6,4,-2,3
-3,21,-7,2
-2,-4,-4,2
2,14,6,2
-6,-8,6,4
6,-10,6,4
-3,-6,-1,4
4,3,-2,2
0,-14,-8,2
0,3,0,1
-2,1,-10,2
-3,-4,7,3
-6,-36,4,4
7,20,-7,3
2,-4,-10,3
1,4,-5,3
1,-25,-11,2
2,16,-2,2
1,7,-1,3
-3,-45,9,3
-6,-36,6,2
-6,2,-4,2
-1,-14,5,1
-5,11,-5,3
-12,25,-2,2
5,2,1,3
1,6,-1,3
8,16,2,1
-7,-4,-1,3
4,5,6,2
2,-16,-4,3
7,-37,-1,4
-2,-10,-4,3
-2,-4,-6,2
10,9,-2,3
6,-23,-2,4
-2,-4,-6,4
3,0,1,2
6,-6,0,1
3,-5,-5,3
-4,22,-6,1
-4,-8,2,4
-7,-32,13,2
5,9,-7,3
6,12,-10,4
-2,-13,2,1
-4,6,-2,4
1,10,-1,2
2,3,2,2
1,11,-1,2
-5,-22,5,1
-2,-1,0,2
4,14,-2,2
-2,-1,0,2
0,1,-2,4
-4,5,2,2
-8,37,-6,4
5,-14,9,4
2,-4,0,1
7,-4,-7,1
5,-29,9,1
-11,-8,-1,3
-4,27,4,2
-3,-3,-3,4
-2,-13,4,2
-10,34,-6,2
-4,23,-4,4
-5,30,-9,2
8,-30,0,2
8,-11,-4,4
-1,3,-1,1
2,-4,-8,4
8,18,0,2
1,2,1,1
2,-33,-8,1
1,-13,-1,4
-8,-8,6,2
2,16,4,1
-9,34,-7,4
3,-6,-1,2
7,-3,9,4
-4,32,-6,2
2,-8,-4,2
1,11,1,3
5,-6,1,1
3,-2,-1,1
9,-38,-7,1
1,-5,13,1
-6,-6,4,3
1,7,1,2
-13,-59,5,3
2,6,2,3
6,-2,0,4
5,-2,-1,4
1,9,1,4
1,0,1,4
-5,-21,5,4
9,4,-3,1
3,-5,-1,4
-7,-11,11,2
1,-4,-11,2
-2,12,-4,4
-10,-19,-2,2
2,1,-6,4
-1,-3,-1,2
-4,-24,-2,2
6,2,-6,1
-1,-3,7,1
3,16,5,2
-2,-3,-2,1
4,-23,0,4
-2,-11,0,3
2,-13,-6,1
-2,4,-6,4
-8,20,-2,4
5,-2,-3,3
-13,45,-5,3
-2,-4,6,3
2,21,-10,1
7,-13,5,1
5,-5,-1,3
-1,-1,1,1
0,-9,6,2
-3,16,-1,2
-1,3,3,3
9,-8,-1,1
9,12,3,2
-9,-8,1,4
-1,7,3,2
4,-16,-4,2
1,12,1,1
6,-5,4,1
5,-13,-3,4
-8,-22,2,3
-3,-30,11,2
-2,-3,8,3
3,-12,-5,1
-4,-11,10,2
-2,-16,4,1
-8,-7,0,3
-8,21,-4,2
-4,-5,8,3
-2,-4,2,4
-2,3,0,1
2,0,-2,2
2,7,-4,1
-4,-1,-2,2
1,-2,3,4
-3,-12,3,4
-2,2,-2,4
3,5,-1,2
3,1,1,1
8,61,12,3
2,-4,0,3
-6,43,-12,1
5,39,7,2
9,-37,-7,4
-9,-11,7,4
6,10,-6,3
4,4,-4,2
-14,10,0,2
4,14,2,4
-5,18,-3,1
-7,-11,5,2
-4,30,-6,2
-9,41,-7,2
-10,10,2,2
-6,5,-8,2
1,18,7,1
-3,-9,9,2
5,2,1,2
-14,35,-6,3
-2,16,6,2
-4,9,4,4
-7,45,-9,4
-8,21,0,1
-3,16,-11,1
3,1,-3,4
-2,1,-2,4
5,-2,-1,4
-10,-24,2,2
4,39,14,2
5,16,9,3
-2,-2,-4,4
7,-16,-1,1
-5,2,5,3
5,-4,-5,3
-5,12,-1,4
0,-3,-2,2
-9,11,-3,3
-6,3,4,1
1,-1,1,2
6,-25,-8,4
5,3,-1,4
-9,54,-7,2
1,4,-9,2
3,0,3,2
6,8,2,4
-4,7,-4,4
1,3,7,4
-4,-45,10,2
0,0,2,1
3,-17,-7,2
6,-6,2,4
1,-7,-7,4
-5,4,-9,4
-3,12,5,4
2,0,-4,1
4,-10,-2,2
-10,55,-8,4
-4,-9,4,2
-7,-8,-3,2
-2,-22,10,4
-1,11,-3,4
11,-8,3,1
1,-18,-1,2
1,-2,7,3
0,1,-2,2
-4,0,-10,2
-5,23,-9,4
1,12,1,4
-1,1,-7,1
-6,13,-6,2
3,9,13,3
-2,-4,0,4
-2,19,-12,2
2,-19,-6,3
0,2,-6,2
5,-8,-7,4
10,-16,-4,1
-1,-7,1,1
-10,-13,0,3
1,-2,3,4
1,8,-1,4
1,7,-3,3
1,6,-1,3
0,-17,6,2
0,7,6,2
0,-20,-8,4
7,-4,-1,3
1,14,-3,1
-1,5,1,2
-12,39,-4,3
5,33,5,3
3,-26,-7,1
-4,10,0,2
-10,-21,6,3
2,1,-6,4
-4,8,8,3
-8,-11,2,2
10,-3,2,3
8,65,12,3
4,13,2,2
1,-13,-3,4
0,3,2,3
-8,-21,6,3
-8,10,-2,1
-4,6,2,2
1,1,-7,4
-3,0,1,4
7,17,5,3
3,18,-1,3
-11,17,3,2
4,15,-8,1
-4,2,2,2
1,6,5,4
9,27,5,2
-1,0,7,1
3,-12,5,1
-4,-9,2,2
-1,-2,1,4
2,13,4,3
-6,-5,-2,3
2,-7,-4,4
-2,-3,-4,4
12,-59,-6,4
0,1,-2,4
-1,0,1,3
-1,16,9,2
11,-4,-3,4
13,18,3,1
2,7,6,3
8,18,0,3
4,-2,-10,1
0,1,-2,2
4,-9,2,2
0,1,2,3
-5,3,-3,2
2,-2,0,4
-6,10,2,3
2,-20,6,3
-1,-12,3,2
1,-2,3,1
1,10,1,4
-4,0,-2,3
-2,14,-2,4
-4,20,-12,4
6,15,6,2
0,6,-6,3
-14,5,-2,2
1,-5,-7,2
9,84,9,3
-10,64,-6,2
12,54,6,4
-6,20,-8,1
-6,-9,2,4
0,-6,-6,2
0,-9,8,1
4,9,2,3
5,19,-1,3
3,2,-5,4
5,-8,-1,3
0,-11,-8,2
10,46,10,3
0,-26,-2,2
-1,4,7,3
7,-18,-7,2
-1,11,-1,2
-4,-10,6,4
-6,27,-6,4
-6,-10,2,2
-4,14,-4,2
-6,-2,2,2
3,16,9,4
-2,0,4,4
-2,18,-8,2
-10,45,-4,1
-4,12,-6,4
-4,1,2,4
7,-20,-5,2
3,-1,5,4
0,-25,8,1
-4,-9,0,4
9,-68,-11,3
-3,0,-1,2
-6,20,-2,2
2,5,-8,3
1,-1,-5,4
7,8,-1,1
-7,-4,5,2
8,-57,-6,2
6,31,8,3
-1,-1,3,3
-8,-1,4,2
-1,-9,7,4
-3,34,-11,4
-7,40,-3,3
-1,2,-5,1
-3,-11,3,3
2,4,-4,2
9,2,3,1
1,-14,9,1
6,-10,0,4
2,-17,-10,4
8,11,-2,3
-6,-18,-10,2
8,-50,-10,4
2,0,4,1
-3,-6,-5,2
2,-3,-2,1
4,-19,-8,4
5,-17,-5,4
8,-22,-6,4
0,-7,-6,4
-3,-15,1,2
-1,3,-5,2
-4,-33,2,1
2,-20,-10,2
-5,17,-3,4
5,3,1,4
-7,-4,-1,3
-6,-26,6,1
5,-14,7,2
-5,-11,7,2
-2,1,4,2
0,0,4,2
2,0,2,1
-1,5,3,2
-2,9,-4,1
0,6,-4,4
6,26,4,3
10,26,4,3
-4,-6,2,3
2,15,-2,2
0,18,12,2
1,5,-1,3
-3,8,1,3
5,-28,-5,1
3,5,-1,1
-12,-12,0,4
-5,14,-3,4
1,-11,-3,2
10,21,4,4
0,-1,2,4
-6,-27,6,2
-4,28,-6,1
0,-4,-2,4
-3,9,-7,4
-3,-9,-1,3
12,-92,-10,1
2,8,2,2
-4,34,-4,1
6,5,4,4
1,3,-3,1
3,8,1,4
-2,-1,0,3
1,11,5,2
6,5,4,1
0,34,-6,3
-4,9,-2,2
7,30,3,2
-2,3,-8,4
5,41,7,4
-7,-10,7,2
-5,-30,5,3
1,-1,-5,4
2,-19,-8,4
-2,12,-4,2
-1,13,-9,1
-6,0,-6,1
-3,-32,5,3
-8,11,0,3
4,8,4,4
-10,-20,8,3
-1,5,-3,2
0,9,0,3
-7,0,3,2
-3,-14,5,1
-2,3,0,2
-8,-40,10,3
-3,-31,11,4
-6,36,-4,4
7,-37,-9,1
1,-17,-9,2
-2,12,-4,1
-4,-4,-4,2
6,1,-2,1
-4,34,-8,1
7,-44,-7,4
-6,16,-12,4
-1,23,-7,4
2,7,2,3
6,-4,-2,4
-1,0,7,1
-1,15,3,2
-3,8,-7,3
-11,41,-9,2
2,18,6,4
1,10,5,2
5,7,-3,2
2,-9,-2,2
8,19,4,3
1,1,-1,4
0,14,-8,1
15,-11,3,1
6,-21,-6,4
-1,2,-5,4
6,-5,-2,1
1,-4,7,2
-10,-1,0,2
-4,13,-4,4
6,-4,2,4
-4,-17,-2,2
-4,12,-6,4
1,-4,-11,2
1,13,-3,2
-6,-2,-2,4
8,26,4,1
5,27,5,3
6,-27,2,2
1,10,3,2
4,-16,-2,2
-7,-81,13,3
1,-23,9,1
-1,2,-3,3
3,-7,-1,1
1,-3,-1,4
5,3,1,1
-1,13,-9,2
-7,6,-1,2
-4,33,-8,4
0,0,-2,4
3,0,-3,3
-5,-12,-5,2
0,-5,2,2
9,-21,-5,3
-2,-35,6,3
-2,17,-2,2
-6,-25,2,3
5,3,1,3
4,-10,-4,4
-4,-2,6,4
-2,8,4,4
12,-24,0,1
-7,-43,5,3
-3,14,-7,2
2,4,2,1
-3,-2,3,2
-1,5,-1,2
1,12,-9,4
0,13,6,2
-2,2,4,1
-8,-19,4,2
-3,-11,3,3
-1,-7,-1,1
4,4,-4,3
5,0,-3,1
5,-10,-3,4
9,-7,-7,1
4,-10,4,2
2,3,0,2
6,-47,-6,4
1,-13,-5,4
-1,20,1,4
-3,3,-3,1
-1,-1,3,1
-4,3,-2,1
9,-7,-5,4
-9,-2,3,2
0,-7,-10,1
0,0,6,3
-1,11,-1,2
-4,-18,2,2
0,11,10,4
1,2,-5,3
-2,-2,4,3
-2,24,-4,4
-3,-48,11,3
0,-16,-14,2
4,4,4,1
1,-8,5,3
4,-21,-8,4
6,-22,-6,4
3,-3,-1,3
-6,-23,6,3
8,-6,2,2
-1,1,-1,4
-6,-25,8,2
4,16,10,3
1,13,1,2
-2,-4,0,2
4,-1,-4,1
3,-7,-5,4
5,31,9,1
-3,1,-5,4
0,6,-2,2
10,-26,0,4
1,-20,3,2
-3,-12,3,3
8,11,0,3
8,41,4,2
7,-20,-9,1
8,28,4,1
2,-2,2,1
-11,50,-7,1
-4,26,-6,4
10,-15,-2,4
-5,11,-1,3
10,7,4,2
-2,3,-4,1
2,5,0,1
1,4,-5,1
7,16,-1,3
-3,18,-7,2
0,-9,-10,2
6,28,4,4
0,13,-8,1
1,-5,13,3
3,-12,-3,4
4,-8,-2,1
2,1,0,1
9,-37,-11,1
6,-1,4,4
-6,-62,8,1
-4,-6,2,1
-14,-43,8,4
10,17,0,3
7,22,9,1
-8,-1,-2,2
6,23,0,3
1,-9,-9,3
-10,0,4,4
3,11,5,1
-10,-27,10,3
-6,-6,-2,2
5,-9,-1,4
-2,-9,6,3
-3,-9,-3,4
-3,0,3,1
2,15,2,1
3,-15,-5,4
3,-16,-7,3
1,0,-3,2
5,11,7,1
4,-9,-6,4
1,3,1,2
-1,-3,-1,2
-15,-51,3,1
3,-28,-5,4
-12,6,4,2
-1,2,-7,4
14,16,2,1
0,-6,8,1
5,0,-5,4
2,11,0,1
-1,1,1,1
-6,46,-12,4
-3,0,-1,1
1,27,-5,1
2,7,8,1
-3,14,-9,4
3,7,1,1
0,-13,0,3
0,9,-4,2
-10,-54,10,1
3,21,-1,4
-2,5,-6,2
-8,1,4,2
-5,-4,1,2
-1,10,1,1
9,-6,-3,3
-5,17,-5,2
-5,25,-5,4
-10,-16,6,4
4,8,4,2
3,-21,3,4
4,29,-2,2
-1,-8,3,1
0,-13,-4,2
6,-8,-2,1
4,2,2,4
4,6,8,3
1,18,-7,2
9,51,7,1
-1,12,-7,4
7,-24,-3,3
-8,40,-14,4
-5,-24,-3,1
-5,3,-3,1
13,-20,1,1
4,-10,2,4
12,-15,-2,3
5,22,5,1
-4,-13,0,1
-2,25,-8,2
1,-14,1,3
8,-25,0,3
-2,3,8,3
1,0,-3,3
1,1,3,4
5,25,7,3
-2,0,2,2
6,-10,6,2
-5,5,-3,3
-6,-11,-2,2
2,18,0,4
-4,3,-4,4
-4,27,-6,4
-3,-5,1,2
3,-8,-9,3
5,0,-3,1
-4,-2,0,4
1,-6,3,1
-7,9,1,1
0,-1,6,2
1,4,-9,3
-1,-15,7,1
-1,2,7,2
1,4,-7,1
-5,-9,1,1
1,-54,-15,2
3,-21,-3,2
4,37,12,3
-3,5,-3,1
-5,34,-7,4
2,3,2,4
-9,12,-9,4
1,-26,-9,2
-13,46,-3,2
6,-25,-6,2
12,-18,-4,4
-5,8,-7,2
-5,18,-5,4
2,12,0,4
10,0,2,1
4,-14,-6,4
-1,24,11,4
-6,21,-2,2
1,-1,-3,4
-3,-9,-7,4
-5,76,-13,4
1,-4,-3,3
-2,4,0,4
4,0,-2,2
-13,-21,3,3
2,-3,-4,4
3,5,3,1
-9,4,-5,2
-5,-3,3,1
7,27,-1,3
-9,-33,-3,3
3,9,1,3
2,22,6,3
-5,15,-1,1
1,6,-1,1
-10,-39,4,3
-6,-1,8,3
-4,-3,-14,2
7,-34,-7,1
-3,1,-5,4
-3,2,9,3
-4,-3,4,2
-4,21,-2,3
4,-8,6,3
-2,15,-6,3
7,2,-3,4
-1,-8,3,2
8,-9,4,1
-5,9,-1,3
-5,-17,5,3
-6,-5,-2,3
3,-16,1,4
-1,11,1,4
5,-10,-5,1
-5,28,-7,4
2,20,12,3
2,-2,0,1
-1,1,-7,3
-2,0,6,2
0,-2,2,2
2,14,2,3
1,5,1,1
13,66,7,1
1,-5,7,2
10,-26,-2,1
5,7,-5,2
5,-13,-1,3
-4,-34,8,1
2,-1,-4,4
8,3,2,2
3,-14,-3,3
-4,-16,10,2
3,2,-5,2
5,13,3,3
0,2,4,3
-11,-35,3,2
-6,24,-12,4
5,-15,-1,4
0,13,-10,1
0,-7,12,3
0,-6,2,2
12,-28,-2,2
1,2,5,3
-2,10,6,3
0,-10,-2,2
6,-31,-12,1
8,-14,-4,4
3,-1,-5,4
-7,0,1,1
4,-4,-2,2
0,-3,2,3
1,4,-9,4
-1,-7,3,3
3,14,7,4
5,21,9,1
-10,0,0,2
-2,-23,6,2
3,15,5,4
1,-8,1,3
-5,-5,7,4
6,0,2,4
-3,9,-1,4
-6,-6,-2,1
1,5,1,2
-12,8,-6,3
-5,-4,3,2
2,5,-4,1
1,2,1,4
0,8,-4,1
-8,-18,0,4
1,-12,5,3
5,-4,-7,1
0,15,-2,2
-2,-9,-4,4
3,-1,5,1
-3,-1,-5,1
4,9,-6,1
-4,-4,-2,2
-9,20,-7,3
-2,4,-16,4
-6,-29,4,3
-1,5,-9,4
7,13,-1,1
-2,7,0,1
3,6,-3,2
5,3,1,1
3,-6,1,4
-1,-15,3,2
0,-5,2,1
-12,-50,6,3
-9,-20,3,2
-6,9,0,3
2,19,6,3
-1,-4,-1,2
-9,29,-1,4
2,-2,6,2
4,-7,-2,1
-6,-41,4,3
-7,-30,3,4
2,9,2,4
-4,-4,0,2
-5,-2,5,1
0,-23,0,3
-5,8,-3,2
5,4,-1,1
-1,3,-3,1
-5,23,-7,4
12,-60,-4,2
5,21,7,3
0,-15,-2,3
11,-5,1,3
3,20,5,1
-5,-26,3,4
8,-8,0,2
-3,0,-7,4
-3,-4,-9,2
-3,0,-7,4
-4,4,6,4
7,13,1,3
-14,-25,2,3
1,-23,-3,2
4,-50,-10,2
-2,3,4,3
-4,-6,-10,3
-1,-18,7,4
-4,1,4,1
-3,-3,3,2
6,-10,-6,3
-1,-6,-1,3
-2,6,4,2
7,-5,-3,4
-9,5,-3,4
1,4,3,3
4,15,2,3
1,-6,1,3
-4,0,6,1
-10,-46,12,4
-7,26,-9,2
-4,69,-12,4
1,-21,3,4
1,34,9,2
-10,41,-2,4
5,1,1,2
-3,4,3,1
1,-17,-1,2
-6,3,-2,2
-6,4,-6,4
1,5,1,1
1,23,-5,1
-2,2,2,2
-8,35,-6,2
-5,3,-7,4
-7,3,-3,2
3,4,1,2
2,9,2,4
-5,14,-5,1
-3,3,-3,1
-3,4,3,2
1,-8,-7,3
7,17,-1,1
-8,1,6,2
-4,-18,-2,2
7,-22,-5,2
-2,14,0,1
3,31,5,2
7,-31,-1,4
-8,23,-6,4
-3,1,9,3
3,10,1,3
-7,19,1,4
5,16,3,2
-1,5,1,2
5,24,13,3
6,2,0,1
-2,2,-4,2
9,30,5,1
2,14,4,1
-3,-6,1,1
2,-10,-2,1
7,-6,-5,3
10,-7,0,4
-4,-15,4,4
2,3,-4,3
7,52,3,3
-3,7,-7,4
1,-7,9,3
-4,16,2,4
0,1,-2,1
7,-19,-3,4
0,37,8,2
-2,-30,-8,2
-1,-8,-1,4
-8,-20,2,1
-2,-16,-4,2
-1,-3,-3,3
2,-12,10,2
6,12,4,4
4,-25,-10,4
2,51,8,2
4,-21,-4,3
-1,-20,-5,3
-2,24,-6,1
-3,-1,-1,3
-4,-7,6,2
-5,12,-3,2
-6,-18,-4,2
-3,2,1,3
5,-8,5,3
1,20,3,3
2,2,-2,4
5,27,7,1
-3,-12,1,2
10,-45,-8,4
1,-2,5,1
-4,-6,2,2
3,-5,-1,1
5,-23,-7,1
0,23,-2,2
6,2,4,3
0,-4,-4,2
5,10,5,1
-5,-1,-3,3
7,8,3,4
3,16,-9,1
13,-31,-1,1
0,-25,-8,2
0,2,2,1
7,5,-1,4
6,7,8,1
-5,-4,-5,3
-2,4,4,2
-7,-31,9,3
-7,13,-5,3
-7,-7,5,4
-17,-28,1,2
0,5,-4,2
-1,-11,3,4
-4,-16,2,3
5,-8,-5,2
8,31,2,1
-10,-2,2,3
-2,-1,-8,1
1,-4,-5,1
-16,36,-2,2
-2,8,-4,1
-2,-1,2,2
-1,-4,5,4
6,-5,8,4
-5,-33,11,4
2,13,-2,2
12,47,4,1
-1,11,-3,1
-7,24,-3,2
-7,-22,5,3
-4,20,-4,4
11,-1,-3,1
-4,-3,4,2
-3,-1,-1,3
1,-8,-1,2
11,-25,-5,1
-4,3,0,4
2,16,-14,1
4,13,-2,3
3,-21,-5,2
9,10,-5,1
-3,18,-3,3
-1,-4,-5,2
3,-6,3,2
1,7,-1,4
-4,-9,4,1
4,-11,-4,3
-6,1,4,4
-4,-19,-8,2
-7,2,3,3
7,31,5,3
2,-10,-4,1
-3,19,-3,4
-1,13,-3,3
-1,-5,1,2
-3,-43,7,1
4,8,4,2
5,-19,-7,4
-4,-10,4,4
-5,-33,3,3
-9,16,-1,1
3,9,-7,1
-1,4,3,4
0,-23,-4,4
3,-10,-3,1
-5,7,1,2
0,-7,0,4
-5,10,-1,4
-2,10,0,4
4,6,6,1
6,-29,-6,1
-10,-18,-2,3
1,-2,-1,4
-4,-8,-4,3
-4,25,2,2
-6,-33,6,4
-4,-2,0,2
-1,-19,9,1
7,-7,-9,2
0,8,-2,2
-6,-5,2,2
0,-1,0,3
9,-11,1,1
3,-20,-5,1
1,4,1,4
0,3,-2,1
-5,-8,11,3
1,-9,-5,2
-2,20,-10,1
8,48,8,1
-3,11,-3,2
4,-3,0,1
-4,-3,2,2
4,-54,-10,2
-10,25,-6,2
0,1,4,4
-7,-14,-1,3
5,20,3,2
13,76,11,1
2,14,12,1
9,-7,-1,4
4,11,4,2
-1,-19,-9,3
0,-9,8,2
-7,-12,-1,2
-3,6,-5,4
-9,-40,1,1
11,-27,-1,1
-2,10,2,1
-3,-1,1,4
-2,-2,8,2
5,4,-1,1
-4,0,-8,2
2,-1,0,3
-3,-2,3,1
0,5,-8,4
7,27,7,3
-6,-6,2,1
-5,-31,5,3
0,20,-8,2
-8,-15,2,3
5,-40,-9,2
3,-4,-5,4
0,6,6,3
-3,14,-7,4
6,25,2,2
1,23,-15,4
1,3,-1,1
4,6,-4,4
3,-9,-7,1
0,-13,8,4
7,-4,3,3
10,64,14,1
-5,12,-1,3
4,15,8,4
-1,-7,-7,2
1,10,5,3
6,12,2,3
-2,-10,0,3
1,-4,7,1
-10,-32,0,3
-7,12,-7,2
-7,3,-1,2
-5,6,7,4
3,16,-3,1
-5,11,-1,4
-3,-4,-1,3
7,33,5,3
-8,28,-4,4
2,19,2,3
-9,-12,-1,2
-3,12,-3,4
5,-5,1,2
-6,-4,2,3
-5,10,-9,2
0,-4,0,1
4,-2,-6,4
5,5,-7,2
-3,-43,13,4
-10,-18,-2,2
7,38,5,3
9,17,1,3
3,27,11,3
-4,31,-16,1
0,7,-4,1
7,16,3,3
0,10,2,1
-5,-17,7,3
-4,-2,2,4
-1,-19,-9,1
4,-9,0,4
-4,-13,-2,2
-3,22,-13,4
3,9,-9,1
0,-3,4,2
1,9,3,1
-11,20,-5,2
3,39,9,3
-3,11,-7,3
1,8,5,2
-8,51,-10,4
1,7,-3,4
12,-17,-2,1
3,-9,-3,4
2,-4,2,4
1,-5,-1,4
5,-14,-5,4
-3,3,-5,1
-1,2,3,4
8,-58,-8,4
0,-9,14,1
7,8,1,4
-11,-69,11,3
3,-29,-11,4
1,-4,1,2
-5,6,5,4
1,25,1,2
-6,27,-4,4
10,3,0,4
9,8,1,1
-5,-62,9,1
0,21,2,4
6,-21,-8,2
3,-14,-1,1
0,1,-6,2
-3,-8,-5,2
-6,-2,4,4
3,18,3,3
-2,-2,-2,4
-10,-33,6,3
-1,7,-7,1
-1,-21,-7,3
-1,0,5,1
-3,31,-9,1
-1,-6,-5,4
-2,33,-12,1
0,6,8,4
-4,-30,8,3
9,9,1,4
-2,-10,4,1
10,-29,-8,1
-9,-89,7,3
-12,7,-2,4
-4,-17,0,4
0,-2,4,4
-11,-29,7,2
0,-1,-2,3
3,1,3,1
0,-14,6,2
0,11,2,2
-2,0,-2,2
6,-24,-4,4
6,6,-2,1
-5,16,3,2
-5,-12,7,1
-5,-11,-7,2
4,-11,4,4
-2,3,-4,4
8,-13,4,1
-7,-8,-7,3
0,11,-2,3
5,12,5,3
-9,26,-9,2
3,-24,-17,1
-3,-7,-3,2
-6,3,2,3
-11,67,-9,2
-8,36,-4,2
4,-17,6,4
-6,21,-6,4
-3,-5,1,4
-3,8,-5,2
-5,-18,3,1
3,1,9,3
2,-5,-6,1
-6,-4,-4,2
-1,30,-7,3
0,3,4,4
-6,21,-6,4
1,-10,-7,4
1,-11,-9,2
-7,55,-13,4
-9,4,-3,2
4,20,4,3
7,-26,-7,4
3,-30,-9,3
0,5,4,2
3,-18,-5,3
6,-21,-6,2
-4,-8,10,4
4,11,8,1
-8,-29,4,2
9,-39,-3,2
-5,18,-1,4
2,-3,-6,1
-4,0,2,1
5,-10,-1,4
-4,1,-4,2
3,14,3,3
1,12,-1,4
4,-17,-6,3
6,-32,-10,4
1,-6,5,3
4,-2,6,1
1,8,5,3
-8,-3,-2,3
-2,-10,-10,4
1,8,-5,3
-4,6,6,2
-5,20,-5,1
8,-50,-8,4
-4,-8,4,3
3,-55,-13,4
-1,3,9,2
3,4,3,1
0,2,4,3
-8,32,-2,2
5,4,3,1
-5,16,-5,4
5,-26,-3,4
-1,-33,-15,2
-3,-7,3,1
-6,-5,-2,3
-11,41,-3,2
-1,-8,-3,2
0,16,-8,2
-1,28,-9,4
-6,-28,8,2
-1,11,1,2
-2,7,4,3
-2,5,-2,2
8,12,0,3
4,-23,-8,2
-11,-1,-1,3
2,9,4,2
-1,16,1,4
1,-16,-5,2
14,-13,0,3
-1,-5,-3,4
-3,1,-3,2
-6,41,-6,1
2,-1,2,2
-5,9,-3,3
-12,15,-4,2
-5,39,-7,1
-5,-7,9,3
10,20,2,1
8,-6,2,1
-2,-16,6,3
-3,-9,5,1
-4,14,-4,4
0,19,4,4
-1,-9,5,3
0,-16,-4,2
-5,21,-3,2
-4,-8,4,4
-3,-13,7,3
3,-26,-1,2
-4,5,4,4
-4,-11,8,3
2,-1,-10,2
-9,-14,3,4
-3,-5,5,2
2,32,8,4
-6,12,2,4
7,6,3,4
4,12,4,1
-3,-5,-1,3
-2,-3,-2,2
-4,4,4,3
0,3,-4,2
4,27,8,2
-3,14,3,4
3,5,3,2
7,-7,-5,4
0,26,8,2
-10,-25,4,3
2,-6,-2,3
8,24,2,1
-6,10,-6,1
7,-17,-7,3
12,-33,0,4
3,-1,-1,1
-1,-2,1,1
-4,22,4,2
0,18,2,4
-2,-12,0,1
-2,0,6,4
0,9,-10,4
7,-36,-3,3
3,0,-1,3
-11,22,-1,2
-1,12,-7,2
0,-3,0,3
11,5,5,1
4,19,0,2
-6,15,-4,4
0,11,10,2
10,38,6,3
-1,-16,-5,1
-4,8,-4,1
4,4,6,4
3,-16,-5,1
-5,-13,1,3
-10,-14,2,2
2,11,-6,4
1,31,5,3
7,12,-3,1
-7,-12,5,2
0,-2,6,3
5,1,-3,4
